===========spline pt vertex============
0,6215
1,4997
2,7012
3,6618
4,6513
5,5405
6,6419
7,6810
8,5606
9,6421
10,5396
11,6109
12,5907
13,5904
14,5807
15,6415
16,7114
17,6304
18,6111
19,5503
20,4996
21,5700
22,6310
23,5901
24,6414
25,6209
26,5204
27,6622
28,5805
29,5300
30,5602
31,6710
32,4692
33,4999
34,6720
35,6813
36,5201
37,6103
38,5497
39,6011
40,6307
41,5809
42,6106
43,5202
44,5812
45,7015
46,5198
47,6316
48,5811
49,5001
50,6507
51,4504
52,6014
53,6712
54,6620
55,5407
56,4798
57,6509
58,5608
59,6511
60,6506
61,6606
62,5903
63,6218
64,6019
65,5206
66,6017
67,5513
68,5296
69,5712
70,6624
71,5411
72,6714
73,5298
74,5499
75,6015
76,6220
77,4792
78,5208
79,5409
80,6716
81,5105
82,5815
83,4992
84,6301
85,5698
86,6809
87,5899
88,6922
89,4994
90,4795
91,6805
92,4597
93,5714
94,6403
95,4489
96,6202
97,6807
98,6717
99,6604
100,7017
101,6919
102,7010
103,4791
104,5195
105,4599
106,7022
107,4594
108,4391
109,4493
110,4495
111,4696
112,7515
113,7120
114,7414
115,7213
116,7311
117,7216
118,4296
119,6917
120,4901
121,7314
122,7321
123,7222
124,7718
125,7319
126,7419
127,7619
128,4804
129,7620
130,4903
131,4499
132,4093
133,4292
134,7417
135,7622
136,7109
137,4298
138,7827
139,5091
140,5394
141,4501
142,4294
143,5108
144,6827
145,6702
146,4095
147,4906
148,4401
149,7330
150,4702
151,6905
152,6499
153,6501
154,4588
155,3993
156,4604
157,4403
158,7127
159,7107
160,7324
161,4091
162,7125
163,7106
164,7332
165,7425
166,7533
167,7131
168,7129
169,6924
170,4191
171,6524
172,7626
173,6903
174,6926
175,7423
176,6825
177,4088
178,4705
179,5818
180,4184
181,4387
182,7825
183,6021
184,4908
185,4485
186,7104
187,6224
188,4789
189,5716
190,4286
191,5617
192,7624
193,4085
194,4200
195,6222
196,4188
197,4283
198,3886
199,7829
200,7925
201,4586
202,4787
203,5921
204,4607
205,7823
206,5719
207,5111
208,3889
209,3787
210,4809
211,5109
212,7716
=========spline force============
6215,-0.000421222,-0.000607271,0.0204409
4997,-0.00805573,0.00580313,-0.0704406
7012,-0.000266363,0.000300105,0.0310088
6618,0.00012271,-0.000446928,0.026619
6513,0.000299872,3.69079e-05,0.0258353
5405,0.00013391,-9.00924e-05,-0.00627612
6419,-6.34331e-06,-0.000470331,0.023962
6810,0.000582101,0.000366106,0.0293463
