x,y,z
-10.845667713994306,-3.1618376326245645,0.41225031890143526
-7.133323979070137,-4.831772494317068,0.9573285573392383
-3.538826774908402,-5.569405681923735,1.2678971123623626
0.0,-5.564259403870664,1.3946510271014958
3.538826774908402,-5.569405681923735,1.2678971123623626
7.133323979070137,-4.831772494317068,0.9573285573392383
10.845667713994306,-3.1618376326245645,0.41225031890143526
-12.94661145426356,0.0,0.0
-7.675366234131516,0.0,1.1126009124291372
-3.8275685768671144,0.0,1.5585073447259958
0.0,0.0,1.705225418764698
3.8275685768671144,0.0,1.5585073447259958
7.675366234131516,0.0,1.1126009124291372
12.94661145426356,0.0,0.0
-10.845667713994306,3.1618376326245645,0.41225031890143526
-7.133323979070137,4.831772494317068,0.9573285573392383
-3.538826774908402,5.569405681923735,1.2678971123623626
0.0,5.564259403870664,1.3946510271014958
3.538826774908402,5.569405681923735,1.2678971123623626
7.133323979070137,4.831772494317068,0.9573285573392383
10.845667713994306,3.1618376326245645,0.41225031890143526
