-74.3002,-75.3569,-17.0002
-72.7911,-75.3581,-17.0002
-71.2825,-75.3587,-17.0008
-69.7739,-75.3581,-17.0016
-68.2649,-75.3551,-17.0013
-66.7563,-75.3488,-17.0003
-65.25,-75.3442,-17
-63.75,-75.3442,-17
-62.25,-75.3442,-17
-60.75,-75.3442,-17
-59.25,-75.3442,-17
-57.75,-75.3442,-17
-56.0008,-74.9966,-17.1919
-54.2843,-74.4611,-17.1701
-52.8015,-73.9445,-16.7963
-51.4858,-73.5992,-16.2459
-50.1193,-73.7855,-16.7463
-49.0392,-74.4458,-17.1101
-48.064,-75.8313,-16.6638
-46.3776,-76.9388,-18.5294
-44.0666,-76.9507,-19.4376
-42.6608,-75.8806,-18.3418
-42.4415,-74.0682,-16.5686
-41.1751,-74.3811,-16.3609
-40.1838,-74.1861,-17.5967
-38.7174,-74.2884,-18.3613
-37.156,-74.5064,-18.6114
-35.5515,-74.7558,-18.5231
-33.907,-74.8929,-18.2063
-32.255,-75.01,-18.0578
-30.6304,-75.1,-18.0046
-29.0291,-75.1664,-17.9577
-27.4442,-75.2159,-17.8692
-25.873,-75.2554,-17.7218
-24.3142,-75.2891,-17.5278
-22.7644,-75.3182,-17.3206
-21.2191,-75.3418,-17.1355
-19.6761,-75.359,-16.9947
-18.1356,-75.3695,-16.9044
-16.5986,-75.3743,-16.8593
-15.0655,-75.3752,-16.8486
-13.5363,-75.3739,-16.8602
-12.0105,-75.3716,-16.8832
-10.4874,-75.3694,-16.9089
-8.9667,-75.3676,-16.9319
-7.44797,-75.3662,-16.9493
-5.93104,-75.3653,-16.9607
-4.41573,-75.3646,-16.9669
-2.90186,-75.364,-16.9698
-1.38926,-75.3634,-16.9708
0.12223,-75.3629,-16.9712
1.63276,-75.3624,-16.9717
3.14247,-75.3619,-16.9728
4.65149,-75.3615,-16.9743
6.15993,-75.3611,-16.9761
7.66789,-75.3607,-16.9781
9.17547,-75.3603,-16.98
10.6828,-75.36,-16.9818
12.1899,-75.3596,-16.9834
13.6968,-75.3593,-16.9848
15.2038,-75.359,-16.9861
16.7107,-75.3586,-16.9873
18.2177,-75.3583,-16.9883
